CoefficientName,GearTypeCode,TemporalIndex,CatchSpeciesCode,Coefficient
MonthlyCPUE,SWF,10,BYT,140.456
MonthlyCPUE,SWF,10,YFT,50.239
MonthlyCPUE,SWF,10,SWF,914.28
MonthlyCPUE,SWF,10,OTHER,131.022
MonthlyCPUE,SWF,11,BYT,171.669
MonthlyCPUE,SWF,11,YFT,49.749
MonthlyCPUE,SWF,11,SWF,1303.22
MonthlyCPUE,SWF,11,OTHER,73.663
MonthlyCPUE,SWF,12,BYT,161.258
MonthlyCPUE,SWF,12,YFT,41.091
MonthlyCPUE,SWF,12,SWF,1219.89
MonthlyCPUE,SWF,12,OTHER,31.175
MonthlyCPUE,TUNA,1,BYT,212.78
MonthlyCPUE,TUNA,1,YFT,54.232
MonthlyCPUE,TUNA,1,SWF,2.319
MonthlyCPUE,TUNA,1,OTHER,18.236
MonthlyCPUE,TUNA,2,BYT,217.39
MonthlyCPUE,TUNA,2,YFT,63.967
MonthlyCPUE,TUNA,2,SWF,2.506
MonthlyCPUE,TUNA,2,OTHER,53.552
MonthlyCPUE,TUNA,3,BYT,74.96
MonthlyCPUE,TUNA,3,YFT,26.214
MonthlyCPUE,TUNA,3,SWF,8.404
MonthlyCPUE,TUNA,3,OTHER,74.235
MonthlyCPUE,TUNA,4,BYT,92.23
MonthlyCPUE,TUNA,4,YFT,0
MonthlyCPUE,TUNA,4,SWF,21.433
MonthlyCPUE,TUNA,4,OTHER,79.061
MonthlyCPUE,TUNA,5,BYT,107.81
MonthlyCPUE,TUNA,5,YFT,23.217
MonthlyCPUE,TUNA,5,SWF,38.958
MonthlyCPUE,TUNA,5,OTHER,71.524
MonthlyCPUE,TUNA,6,BYT,102
MonthlyCPUE,TUNA,6,YFT,41.092
MonthlyCPUE,TUNA,6,SWF,31.352
MonthlyCPUE,TUNA,6,OTHER,36.842
MonthlyCPUE,TUNA,7,BYT,26.59
MonthlyCPUE,TUNA,7,YFT,50.661
MonthlyCPUE,TUNA,7,SWF,13.898
MonthlyCPUE,TUNA,7,OTHER,37.708
MonthlyCPUE,TUNA,8,BYT,0
MonthlyCPUE,TUNA,8,YFT,57.962
MonthlyCPUE,TUNA,8,SWF,0.946
MonthlyCPUE,TUNA,8,OTHER,36.728
MonthlyCPUE,TUNA,9,BYT,88.47
MonthlyCPUE,TUNA,9,YFT,61.234
MonthlyCPUE,TUNA,9,SWF,0
MonthlyCPUE,TUNA,9,OTHER,25.971
MonthlyCPUE,TUNA,10,BYT,167.6
MonthlyCPUE,TUNA,10,YFT,85.438
MonthlyCPUE,TUNA,10,SWF,0
MonthlyCPUE,TUNA,10,OTHER,21.655
MonthlyCPUE,TUNA,11,BYT,233.21
MonthlyCPUE,TUNA,11,YFT,56.657
MonthlyCPUE,TUNA,11,SWF,1.191
MonthlyCPUE,TUNA,11,OTHER,17.91
MonthlyCPUE,TUNA,12,BYT,240.74
MonthlyCPUE,TUNA,12,YFT,54.045
MonthlyCPUE,TUNA,12,SWF,2.422
MonthlyCPUE,TUNA,12,OTHER,0
ConstantCPUE,SWF,,BYT,-24.806
ConstantCPUE,SWF,,YFT,-90.312
ConstantCPUE,SWF,,SWF,994.53
ConstantCPUE,SWF,,OTHER,182.552
ConstantCPUE,TUNA,,BYT,-169.74
ConstantCPUE,TUNA,,YFT,61.358
ConstantCPUE,TUNA,,SWF,-37.274
ConstantCPUE,TUNA,,OTHER,-23.338
